timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592127783636,30,Test/-919,200,OK,Thread Group 1-1,text,true,,41400,330,1,1,http://10.10.1.103/,30,0,0
1592127783667,33,Test/-920,200,OK,Thread Group 1-1,text,true,,41470,81730,2,2,http://10.10.1.103/,33,0,0
1592127783677,68,Test/-919,200,OK,Thread Group 1-2,text,true,,41400,330,3,3,http://10.10.1.103/,68,0,0
1592127783701,75,Test/Home.aspx-922,200,OK,Thread Group 1-1,text,true,,41855,741,4,4,http://10.10.1.103/Default.aspx,7,0,0
1592127783701,7,Test/Home.aspx-922-0,302,Found,Thread Group 1-1,text,true,,452,369,4,4,http://10.10.1.103/Home.aspx,7,0,0
1592127783708,68,Test/Home.aspx-922-1,200,OK,Thread Group 1-1,text,true,,41403,372,4,4,http://10.10.1.103/Default.aspx,67,0,0
1592127783747,48,Test/-920,200,OK,Thread Group 1-2,text,true,,41470,81730,4,4,http://10.10.1.103/,47,0,0
1592127783719,87,Test/-919,200,OK,Thread Group 1-3,text,true,,41400,330,5,5,http://10.10.1.103/,86,0,0
1592127783758,80,Test/-919,200,OK,Thread Group 1-4,text,true,,41400,330,5,5,http://10.10.1.103/,79,0,0
1592127783806,54,Test/-920,200,OK,Thread Group 1-3,text,true,,41470,81730,6,6,http://10.10.1.103/,53,0,0
1592127783799,71,Test/-919,200,OK,Thread Group 1-5,text,true,,41400,330,6,6,http://10.10.1.103/,70,0,1
1592127783777,101,Test/success.txt-921,200,OK,Thread Group 1-1,text,true,,384,296,7,7,http://detectportal.firefox.com/success.txt,101,0,68
1592127783795,96,Test/Home.aspx-922,200,OK,Thread Group 1-2,text,true,,41855,741,7,7,http://10.10.1.103/Default.aspx,14,0,0
1592127783795,14,Test/Home.aspx-922-0,302,Found,Thread Group 1-2,text,true,,452,369,7,7,http://10.10.1.103/Home.aspx,14,0,0
1592127783809,82,Test/Home.aspx-922-1,200,OK,Thread Group 1-2,text,true,,41403,372,7,7,http://10.10.1.103/Default.aspx,81,0,0
1592127783878,32,Test/success.txt-923,200,OK,Thread Group 1-1,text,true,,384,301,7,7,http://detectportal.firefox.com/success.txt?ipv4,32,0,0
1592127783839,75,Test/-920,200,OK,Thread Group 1-4,text,true,,41470,81730,7,7,http://10.10.1.103/,74,0,0
1592127783910,20,Test/Home.aspx-924,200,OK,Thread Group 1-1,text,true,,535,9456,8,8,http://10.10.1.103/Home.aspx,20,0,0
1592127783871,83,Test/-920,200,OK,Thread Group 1-5,text,true,,41470,81730,8,8,http://10.10.1.103/,83,0,0
1592127783892,63,Test/success.txt-921,200,OK,Thread Group 1-2,text,true,,384,296,8,8,http://detectportal.firefox.com/success.txt,63,0,30
1592127783955,32,Test/success.txt-923,200,OK,Thread Group 1-2,text,true,,384,301,9,9,http://detectportal.firefox.com/success.txt?ipv4,32,0,0
1592127783844,145,Test/-919,200,OK,Thread Group 1-6,text,true,,41400,330,9,9,http://10.10.1.103/,144,0,1
1592127783860,138,Test/Home.aspx-922,200,OK,Thread Group 1-3,text,true,,41855,741,9,9,http://10.10.1.103/Default.aspx,14,0,0
1592127783860,14,Test/Home.aspx-922-0,302,Found,Thread Group 1-3,text,true,,452,369,9,9,http://10.10.1.103/Home.aspx,14,0,0
