Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/-1,20,265,210,459,514,530,50,530,0.000%,4.01204,162.21,1.29
/-2,20,265,254,512,539,615,41,615,0.000%,3.60490,145.99,287.72
/success.txt-3,20,65,63,69,72,93,58,93,0.000%,3.58680,1.43,1.04
/success.txt-5,20,31,31,35,35,36,29,36,0.000%,3.62516,1.44,1.07
/Home.aspx-4,20,342,326,499,610,834,45,834,0.000%,3.16456,129.35,2.29
/Home.aspx-6,20,433,352,926,992,1099,51,1099,0.000%,2.75179,112.48,26.42
/IPD/ManagerOperation_DashBoard.aspx-7,20,84,42,211,214,274,14,274,100.000%,2.74273,13.26,1.08
/Home.aspx-8,20,90,68,198,209,237,9,237,0.000%,2.70893,1.42,25.16
/Home.aspx-9,20,87,53,236,246,267,12,267,0.000%,2.68745,1.40,25.04
/Home.aspx-10,20,86,49,224,233,254,12,254,0.000%,2.65146,1.39,24.71
/Home.aspx-11,20,75,64,114,188,214,11,214,0.000%,2.61643,1.37,24.38
/Home.aspx-12,20,79,67,168,175,242,11,242,0.000%,2.56641,1.34,23.91
/Home.aspx-13,20,72,79,111,138,140,11,140,0.000%,2.52525,1.32,23.53
/Home.aspx-14,20,70,52,141,147,168,13,168,0.000%,2.48663,1.30,23.17
/Home.aspx-15,20,63,53,116,126,137,8,137,0.000%,2.45519,1.28,22.88
/Home.aspx-16,20,85,58,137,269,327,11,327,0.000%,2.36267,1.23,22.02
/Home.aspx-17,20,77,77,133,169,224,8,224,0.000%,2.32937,1.22,21.71
/Home.aspx-18,20,123,65,130,186,1158,11,1158,0.000%,2.05465,1.07,19.15
/Home.aspx-19,20,86,55,166,206,244,10,244,0.000%,2.01410,1.05,18.77
/Home.aspx-20,20,110,60,153,191,735,10,735,0.000%,1.87723,0.98,17.49
/Home.aspx-21,20,70,62,115,141,170,12,170,0.000%,1.84945,0.97,17.23
/Home.aspx-22,20,82,79,138,141,202,20,202,0.000%,1.82949,0.96,17.05
/Home.aspx-23,20,105,72,121,149,792,16,792,0.000%,1.71174,0.89,15.95
/Home.aspx-24,20,219,76,311,317,2662,12,2662,0.000%,1.39567,0.73,13.01
/Home.aspx-25,20,572,423,1003,1294,1326,72,1326,0.000%,1.36342,55.73,13.21
/Report/Report_Selection_Page.aspx-26,20,93,66,172,203,297,10,297,100.000%,1.36921,6.65,0.54
/css/datepicker.css-27,20,4,3,11,12,14,0,14,0.000%,1.37099,1.73,0.44
/js/bootstrap-datepicker.js-28,20,1,0,5,6,12,0,12,0.000%,1.37193,5.83,0.43
/Home.aspx-29,20,220,133,732,736,1129,11,1129,0.000%,1.37146,0.72,12.84
/Home.aspx-30,20,95,94,161,168,234,11,234,0.000%,1.37212,0.72,12.85
/Home.aspx-31,20,195,94,370,744,1124,11,1124,0.000%,1.37231,0.72,12.85
/Home.aspx-32,20,152,95,267,558,791,11,791,0.000%,1.37240,0.72,12.85
/Home.aspx-33,20,435,102,1127,2660,2663,10,2663,0.000%,1.37259,0.72,12.85
/Home.aspx-34,20,116,85,236,318,333,10,333,0.000%,1.37268,0.72,12.85
/Home.aspx-35,20,286,72,743,1124,2321,13,2321,0.000%,1.37259,0.72,12.85
/Home.aspx-36,20,234,51,892,1098,1123,10,1123,0.000%,1.37297,0.72,12.86
/Home.aspx-37,20,236,76,238,737,2318,10,2318,0.000%,1.37382,0.72,12.86
/Home.aspx-38,20,154,49,333,739,874,11,874,0.000%,1.37448,0.72,12.87
/Home.aspx-39,20,215,56,160,732,2320,10,2320,0.000%,1.37514,0.72,12.88
/Report/Report_Selection_Page.aspx-40,20,19637,12395,41698,50646,59311,6917,59311,0.000%,.27085,30.43,5.56
/Home.aspx-41,20,361,19,1104,1117,2654,9,2654,0.000%,.30410,0.16,2.85
/Home.aspx-42,20,55,17,230,231,232,9,232,0.000%,.30916,0.16,2.89
/Home.aspx-43,20,133,18,745,746,748,9,748,0.000%,.31018,0.16,2.90
/Home.aspx-44,20,43,19,155,155,157,10,157,0.000%,.31372,0.16,2.94
/Home.aspx-45,20,45,18,159,160,160,9,160,0.000%,.31441,0.16,2.94
/safebrowsing/clientreport/download?key=%GOOGLE_SAFEBROWSING_API_KEY%-47,20,0,0,0,0,0,0,0,100.000%,.31519,0.41,0.00
/Report/Report_Selection_Page.aspx-46,20,97872,79524,141195,320982,325488,13693,325488,0.000%,.05202,4.70,1.07
/Home.aspx-48,20,20,18,34,41,48,11,48,0.000%,.05395,0.03,0.51
/Home.aspx-49,20,29,18,33,42,204,10,204,0.000%,.05395,0.03,0.51
/Home.aspx-50,20,28,18,40,43,199,12,199,0.000%,.05395,0.03,0.51
/Home.aspx-51,20,28,18,39,44,204,11,204,0.000%,.05395,0.03,0.51
/Home.aspx-52,20,29,18,37,40,202,10,202,0.000%,.05395,0.03,0.51
/Home.aspx-53,20,28,19,39,74,148,10,148,0.000%,.05395,0.03,0.51
/Home.aspx-54,20,20,18,36,38,42,10,42,0.000%,.05395,0.03,0.51
/Home.aspx-55,20,18,17,23,34,40,10,40,0.000%,.05395,0.03,0.51
/Home.aspx-56,20,21,18,39,41,45,11,45,0.000%,.05394,0.03,0.51
/Home.aspx-57,20,20,19,29,38,41,9,41,0.000%,.05394,0.03,0.51
/Home.aspx-58,20,20,20,22,39,39,9,39,0.000%,.05394,0.03,0.51
/Home.aspx-59,20,91,20,38,41,1455,10,1455,0.000%,.05394,0.03,0.51
/Home.aspx-60,20,21,20,35,38,45,11,45,0.000%,.05394,0.03,0.51
/Home.aspx-61,20,20,19,32,34,41,10,41,0.000%,.05394,0.03,0.51
/Home.aspx-62,20,25,18,34,40,141,11,141,0.000%,.05394,0.03,0.51
/Home.aspx-63,20,20,18,31,38,40,10,40,0.000%,.05394,0.03,0.51
/Home.aspx-64,20,111,90,198,275,285,48,285,0.000%,.05393,2.20,0.52
/Report/Report_Selection_Page.aspx-65,20,27,17,26,46,207,9,207,100.000%,.05394,0.26,0.02
/Home.aspx-66,20,28,20,33,48,203,10,203,0.000%,.05394,0.03,0.51
/Home.aspx-67,20,26,18,36,36,181,10,181,0.000%,.05394,0.03,0.51
/Report/Report_Selection_Page.aspx-68,20,63816,66850,108305,108471,122661,17229,122661,0.000%,.05154,16.80,1.06
/Home.aspx-69,20,31,21,33,49,197,11,197,0.000%,.05588,0.03,0.52
/Home.aspx-70,20,101,21,45,187,1464,12,1464,0.000%,.05588,0.03,0.52
/Home.aspx-71,20,34,21,34,120,183,11,183,0.000%,.05611,0.03,0.53
/Home.aspx-72,20,57,24,203,204,220,11,220,0.000%,.05611,0.03,0.53
/Home.aspx-73,20,45,22,138,198,203,11,203,0.000%,.05611,0.03,0.53
/Home.aspx-74,20,40,20,49,202,202,11,202,0.000%,.05612,0.03,0.53
/Home.aspx-75,20,36,23,39,116,205,11,205,0.000%,.05612,0.03,0.53
/Home.aspx-76,20,54,22,40,125,597,11,597,0.000%,.05613,0.03,0.53
/Report/Report_Selection_Page.aspx-77,20,71774,73294,100169,108157,114054,14458,114054,0.000%,.05339,74.20,1.10
/Home.aspx-78,20,25,22,35,37,52,12,52,0.000%,.06539,0.03,0.61
/Home.aspx-79,20,26,21,43,46,68,11,68,0.000%,.06539,0.03,0.61
/Home.aspx-80,20,25,21,46,47,57,11,57,0.000%,.06539,0.03,0.61
/safebrowsing/clientreport/download?key=%GOOGLE_SAFEBROWSING_API_KEY%-81,20,0,0,0,0,0,0,0,100.000%,.06539,0.09,0.00
/Home.aspx-82,20,24,21,45,47,48,11,48,0.000%,.06539,0.03,0.61
/Home.aspx-83,20,30,22,50,60,106,11,106,0.000%,.06539,0.03,0.61
/Home.aspx-84,20,27,21,49,52,57,12,57,0.000%,.06539,0.03,0.61
/Home.aspx-85,20,26,22,44,46,50,11,50,0.000%,.06539,0.03,0.61
/Home.aspx-86,20,31,21,48,51,167,11,167,0.000%,.06539,0.03,0.61
/Home.aspx-87,20,33,21,47,51,201,11,201,0.000%,.06539,0.03,0.61
/Home.aspx-88,20,33,21,45,49,205,11,205,0.000%,.06540,0.03,0.61
/Home.aspx-89,20,43,23,45,50,402,11,402,0.000%,.06540,0.03,0.61
/Home.aspx-90,20,33,23,47,48,182,11,182,0.000%,.06540,0.03,0.61
/Home.aspx-91,20,28,21,42,46,83,10,83,0.000%,.06541,0.03,0.61
/Home.aspx-92,20,29,23,45,46,61,11,61,0.000%,.06540,0.03,0.61
/Home.aspx-93,20,36,23,47,100,175,11,175,0.000%,.06540,0.03,0.61
/Home.aspx-94,20,30,21,50,59,104,12,104,0.000%,.06542,0.03,0.61
/Home.aspx-95,20,29,23,49,56,65,11,65,0.000%,.06543,0.03,0.61
/Home.aspx-96,20,29,21,47,51,74,11,74,0.000%,.06543,0.03,0.61
/Home.aspx-97,20,152,104,243,282,453,50,453,0.000%,.06542,2.67,0.64
/IPD/ManagerOperation_DashBoard.aspx-98,20,68,58,85,96,347,19,347,100.000%,.06546,0.32,0.03
/Home.aspx-99,20,36,23,50,61,201,12,201,0.000%,.06547,0.03,0.61
/Home.aspx-100,20,37,25,44,48,202,11,202,0.000%,.06548,0.03,0.61
/Home.aspx-101,20,36,25,45,47,205,11,205,0.000%,.06548,0.03,0.61
/Home.aspx-102,20,49,24,64,67,383,11,383,0.000%,.06549,0.03,0.61
/Home.aspx-103,20,130,113,219,260,271,43,271,0.000%,.06548,2.68,0.64
/Default.aspx-105,20,104,84,195,242,283,43,283,0.000%,.06550,2.65,0.02
/success.txt-104,20,297,100,310,319,3083,61,3083,0.000%,.06551,0.02,0.02
/success.txt-106,20,64,35,154,154,160,30,160,0.000%,.06553,0.02,0.02
/Default.aspx-107,20,83,43,222,279,373,28,373,0.000%,.06553,2.66,5.23
/Home.aspx-109,20,167,102,396,462,790,43,790,0.000%,.06553,2.68,0.05
/success.txt-108,20,64,35,155,156,160,31,160,0.000%,.06554,0.02,0.02
/success.txt-110,20,64,35,154,156,160,31,160,0.000%,.06554,0.02,0.02
/Home.aspx-111,20,25,20,37,45,65,11,65,0.000%,.06555,0.03,0.15
/Home.aspx-112,20,142,104,238,242,413,52,413,0.000%,.06554,2.68,0.18
/IPD/Doctor_Dashboard.aspx-113,20,38,28,51,114,129,18,129,0.000%,.06556,0.80,0.03
/Home.aspx-114,20,25,20,47,47,58,10,58,0.000%,.06556,0.03,0.16
/Home.aspx-115,20,23,20,41,46,71,10,71,0.000%,.06556,0.03,0.16
